
0.0.0	0.7.*	泰国
0.8.0	0.15.*	韩国
0.16.0	0.31.*	马来西亚
0.32.0	0.63.*	韩国
0.64.0	0.127.*	河北省沧州市任丘市
0.128.0	0.135.*	广东省东莞市
0.136.0	0.138.*	广东省广州市
0.139.0	0.139.*	广东省惠州市
0.140.0	0.143.*	广东省茂名市
0.144.0	0.155.*	广东省广州市
0.156.0	0.156.*	广东省东莞市
0.157.0	0.157.*	广东省云浮市
0.158.0	0.177.*	广东省东莞市
0.178.0	0.178.*	广东省江门市
0.179.0	0.179.*	广东省揭阳市
0.180.0	0.180.*	广东省汕尾市
0.181.0	0.181.*	广东省江门市
0.182.0	0.182.*	广东省汕头市
0.183.0	0.183.*	广东省江门市
0.184.0	0.184.*	广东省汕尾市
0.185.0	0.185.*	广东省江门市
0.186.0	0.186.*	广东省肇庆市
0.187.0	0.187.*	广东省汕尾市
0.188.0	0.188.*	广东省江门市
0.189.0	0.191.*	广东省广州市
0.192.0	0.195.*	广东省韶关市
0.196.0	0.196.*	广东省
0.197.0	0.197.*	广东省广州市
0.198.0	0.198.*	广东省深圳市
0.199.0	0.199.*	广东省佛山市
0.200.0	0.200.*	广东省阳江市
0.201.0	0.203.*	广东省珠海市
0.204.0	0.204.*	广东省汕尾市
0.205.0	0.205.*	广东省广州市
0.206.0	0.206.*	广东省中山市
0.207.0	0.207.*	广东省广州市
0.208.0	0.211.*	广东省潮州市
0.212.0	0.214.*	广东省广州市
0.215.0	0.215.*	广东省潮州市
0.216.0	0.217.*	广东省湛江市
0.218.0	0.218.*	广东省惠州市
0.219.0	0.219.*	广东省湛江市
0.220.0	0.223.*	广东省惠州市
0.224.0	0.225.*	广东省珠海市
0.226.0	0.226.*	广东省阳江市
0.227.0	0.228.*	广东省梅州市
0.229.0	0.231.*	广东省珠海市
0.232.0	0.237.*	广东省深圳市
0.238.0	0.239.*	广东省梅州市
0.240.0	0.240.*	广东省佛山市
0.241.0	0.246.*	广东省东莞市
0.247.0	0.250.*	广东省佛山市
0.251.0	0.*.*	广东省广州市
1.0.0	1.*.*	日本
2.0.0	3.*.*	菲律宾
4.0.0	4.63.*	山东省济南市
4.64.0	4.127.*	山东省青岛市
4.128.0	4.191.*	山东省济宁市
4.192.0	4.224.250	山东省潍坊市
4.224.251	4.224.251	山东省诸城市
4.224.252	4.*.*	山东省潍坊市
5.0.0	5.63.*	山东省烟台市
5.64.0	5.127.*	山东省淄博市
5.128.0	5.191.*	山东省德州市
5.192.0	5.*.*	山东省菏泽市
6.0.0	6.0.*	山东省滨州市
6.1.0	6.63.*	山东省东营市
6.64.0	6.127.*	山东省日照市
6.128.0	6.191.*	山东省临沂市
6.192.0	6.*.*	山东省滨州市
7.0.0	7.51.*	山东省聊城市
7.52.0	7.52.*	湖南省
7.53.0	7.63.*	山东省
7.64.0	7.104.*	山东省枣庄市
7.105.0	7.105.*	山东省滕州区
7.106.0	7.127.*	山东省枣庄市
7.128.0	7.159.*	山东省泰安市
7.160.0	7.191.*	山东省威海市
7.192.0	7.223.*	山东省莱芜市
7.224.0	7.235.*	山东省威海市
7.236.0	7.*.*	山东省
8.0.0	8.31.*	上海市
8.32.0	8.32.*	广东省广州市
8.33.0	8.45.*	广东省
8.46.0	8.48.*	广东省江门市
8.49.0	8.49.*	广东省东莞市
8.50.0	8.51.*	广东省江门市
8.52.0	8.52.*	广东省佛山市
8.53.0	8.53.*	广东省清远市
8.54.0	8.57.*	广东省
8.58.0	8.61.*	广东省韶关市
8.62.0	8.65.*	广东省
8.66.0	8.66.*	广东省东莞市
8.67.0	8.69.*	广东省
8.70.0	8.70.*	广东省韶关市
8.71.0	8.71.*	广东省广州市
8.72.0	8.80.*	广东省
8.81.0	8.95.*	中国
8.96.0	8.102.*	江西省景德镇市
8.103.0	8.112.*	江西省上饶市
8.113.0	8.117.*	江西省赣州市
8.118.0	8.128.*	江西省九江市
8.129.0	8.136.*	江西省宜春市
8.137.0	8.144.*	江西省萍乡市
8.145.0	8.159.*	江西省
8.160.0	8.174.*	上海市
8.175.0	8.191.*	江西省
8.192.0	8.*.*	江西省南昌市
9.0.0	9.2.*	中国
9.3.0	9.3.*	北京市海淀区
9.4.0	9.5.*	中国
9.6.0	9.9.*	宁夏银川市
9.10.0	9.19.*	宁夏
9.20.0	9.20.*	宁夏中卫市
9.21.0	9.21.*	宁夏中宁市
9.22.0	9.45.*	中国
9.46.0	9.47.*	宁夏银川市
9.48.0	9.54.*	中国
9.55.0	9.55.*	上海市
9.56.0	9.56.*	浙江省杭州市
9.57.0	9.130.*	中国
9.131.0	9.187.*	广东省珠海市
9.188.0	9.*.*	中国
10.0.0	10.13.*	吉林省吉林市
10.14.0	10.14.*	吉林省长春市
10.15.0	10.46.*	吉林省吉林市
10.47.0	10.47.*	吉林省长春市
10.48.0	10.95.*	吉林省吉林市
10.96.0	10.111.*	吉林省松原市
10.112.0	10.119.*	吉林省白城市
10.120.0	10.127.*	吉林省松原市
10.128.0	11.61.*	中国
11.62.0	11.62.*	广东省广州市
11.63.0	12.139.*	中国
12.140.0	12.140.*	吉林省长春市
12.141.0	12.153.*	中国
12.154.0	12.167.*	吉林省通化市
12.168.0	12.176.*	吉林省
12.177.0	12.184.*	吉林省四平市
12.185.0	12.223.*	吉林省
12.224.0	12.250.*	吉林省延吉市
12.251.0	12.254.*	吉林省
12.*.0	12.*.*	吉林省延边州
13.0.0	13.30.*	中国
13.31.0	13.31.*	广西柳州市
13.32.0	13.63.*	中国
13.64.0	13.69.*	江西省景德镇市
13.70.0	13.70.146	江西省鹰潭市
13.70.147	13.70.147	江西省鹰潭市贵溪市
13.70.148	13.77.*	江西省鹰潭市
13.78.0	13.96.*	江西省
13.97.0	13.123.*	江西省赣州市
13.124.0	13.127.*	江西省
13.128.0	13.128.*	福建省厦门市
13.129.0	13.143.*	安徽省
13.144.0	13.144.*	广西北海市
13.145.0	13.159.*	广西南宁市
13.160.0	13.163.*	广西柳州市
13.164.0	13.165.*	广西百色市
13.166.0	13.175.*	广西南宁市
13.176.0	13.180.*	广西
13.181.0	13.181.*	广西防城港市
13.182.0	13.183.*	广西
13.184.0	13.185.*	广西南宁市
13.186.0	13.195.*	广西
13.196.0	13.213.*	广西柳州市
